step,run_id,timestamp,name,num_citizens,num_corporate_media,num_influencers,num_government,network_type,steps,simulationName,truth_seeking_mean,truth_seeking_std,confirmation_bias_min,confirmation_bias_max,critical_thinking_min,critical_thinking_max,social_conformity_min,social_conformity_max,initial_trust_in_corporate,initial_trust_in_influencers,initial_trust_in_government,corporate_bias_min,corporate_bias_max,truth_commitment_corporate,corporate_publication_rate,corporate_influence_reach,influencer_bias_min,influencer_bias_max,truth_commitment_influencer,influencer_publication_rate,influencer_influence_reach,government_bias,truth_commitment_government,government_publication_rate,government_influence_reach,small_world_k,small_world_p,scale_free_m,random_p,avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
15,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.347044696675988,3.289973895842162,0.44133432070252854,0.7336818095116322,0.7780793194615307,1.342377911056946
16,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.347044696675988,3.289973895842162,0.44140719875419826,0.7336818095116322,0.7780793194615307,1.342377911056946
17,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.327517454272421,3.289973895842162,0.4410831987674457,0.7336818095116322,0.790328492881006,1.342377911056946
18,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.327517454272421,3.289973895842162,0.44115007426935493,0.7336818095116322,0.790328492881006,1.342377911056946
19,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.327517454272421,3.289973895842162,0.4412136538639576,0.7336818095116322,0.790328492881006,1.342377911056946
20,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.327517454272421,3.289973895842162,0.44127432790589466,0.7336818095116322,0.790328492881006,1.342377911056946
21,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.327517454272421,3.289973895842162,0.44133239425783394,0.7336818095116322,0.790328492881006,1.342377911056946
22,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4410596172892091,0.7336818095116322,0.8065025355482001,1.342377911056946
23,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44109354372017834,0.7336818095116322,0.8065025355482001,1.342377911056946
24,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44112896146549224,0.7336818095116322,0.8065025355482001,1.342377911056946
25,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44116546879842433,0.7336818095116322,0.8065025355482001,1.342377911056946
26,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.4412027117615132,0.7336818095116322,0.8065025355482001,1.342377911056946
27,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44124038033601387,0.7336818095116322,0.8065025355482001,1.342377911056946
28,run_1745356702,2025-04-22 17:18:22,low-cred-2,100,3,5,1,small_world,75,low-cred-2,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.192006788467142,4.306250045451718,3.289973895842162,0.44127820462646716,0.7336818095116322,0.8065025355482001,1.342377911056946
