step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="workit",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
13,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.797342293102176,4.841135312600581,0.4679788165008349,4.966548132781543e-05,0.04430828416833792,0.028421737192354447
14,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.797342293102176,4.838197836027438,0.46748815306049807,4.966548132781543e-05,0.04430828416833792,0.028342662690442232
15,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.797342293102176,4.830801065688311,0.46699476306738785,4.966548132781543e-05,0.04430828416833792,0.02863002778882219
16,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.797342293102176,4.830801065688311,0.46669514290023045,4.966548132781543e-05,0.04430828416833792,0.02863002778882219
17,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.830801065688311,0.466199813280025,4.966548132781543e-05,0.04431479511880562,0.02863002778882219
18,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.823923657787647,0.4657601659400982,4.966548132781543e-05,0.04431479511880562,0.028661473269551586
19,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.4650069912775788,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
20,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.46486065433322293,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
21,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.4647302896109802,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
22,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.812445136312648,0.4646140365343403,4.966548132781543e-05,0.04431479511880562,0.027790937800649708
