step,run_id,timestamp,name,num_citizens,num_corporate_media,num_influencers,num_government,network_type,steps,simulationName,truth_seeking_mean,truth_seeking_std,confirmation_bias_min,confirmation_bias_max,critical_thinking_min,critical_thinking_max,social_conformity_min,social_conformity_max,initial_trust_in_corporate,initial_trust_in_influencers,initial_trust_in_government,corporate_bias_min,corporate_bias_max,truth_commitment_corporate,corporate_publication_rate,corporate_influence_reach,influencer_bias_min,influencer_bias_max,truth_commitment_influencer,influencer_publication_rate,influencer_influence_reach,government_bias,truth_commitment_government,government_publication_rate,government_influence_reach,small_world_k,small_world_p,scale_free_m,random_p,avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.383556716666161,4.329659965734762,3.9765139489861103,0.4773820034883357,0.5615748557049975,0.7286371853770172,1.56235793335397
1,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.342707636187867,4.307795018568485,3.849811709023699,0.4728016878149039,0.565365883537602,0.7466528020555405,1.6135788886609879
2,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.342707636187867,4.2864566559078945,3.7724270480455466,0.47194778329563825,0.565365883537602,0.7621890065794907,1.6318453683544503
3,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.302721677783125,4.2864566559078945,3.6341981062015716,0.46836487749236916,0.5659288851723939,0.7621890065794907,1.5982627937044214
4,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.2864566559078945,3.610617086568227,0.4681659023671492,0.5733515394965002,0.7621890065794907,1.5888991753664508
5,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.2864566559078945,3.591623992833547,0.4676187483338156,0.5733515394965002,0.7621890065794907,1.571834838901926
6,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.2864566559078945,3.591623992833547,0.4678604805545325,0.5733515394965002,0.7621890065794907,1.571834838901926
7,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.270867404169754,3.591623992833547,0.4674833263823968,0.5733515394965002,0.7640012451509933,1.571834838901926
8,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.270867404169754,3.591623992833547,0.46770559433615355,0.5733515394965002,0.7640012451509933,1.571834838901926
9,run_1745356709,2025-04-22 17:18:29,low-cred-3,100,3,5,1,small_world,75,low-cred-3,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.269735132773678,4.228740249843346,3.591623992833547,0.4672258081363946,0.5733515394965002,0.7895319460011959,1.571834838901926
