step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-high-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.011337977650848,5.735576367836078,4.406037711870286,0.4609929056120643,0.00016750601664022372,0.8043552499041356,0.4819873697512323
1,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.0124967972030365,5.792733741289425,4.3509237890744785,0.4583045428735282,0.00017370789066422425,0.8288157498499757,0.49014856537550455
2,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012698214708191,5.792733741289425,4.309471216324871,0.4567938620183704,0.0001726900753609887,0.8288157498499757,0.4926345402213559
3,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.807875711772777,4.2833453710633,0.45514851070452955,0.00017206910717547475,0.8275072957682038,0.49001467364900825
4,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.8228318258716945,4.251244319949453,0.4538126811680017,0.00017206910717547475,0.8254867826672126,0.49456909235591356
5,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.8228318258716945,4.221730462554808,0.45289632752905284,0.00017206910717547475,0.8254867826672126,0.493267917046879
6,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.843634777727643,4.221730462554808,0.4528094675816962,0.00017206910717547475,0.8340956387350819,0.493267917046879
7,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.861626242007494,4.1954031002057315,0.4519075505852198,0.00017206910717547475,0.835784774704011,0.48710005839564685
8,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.861626242007494,4.164179351719531,0.4515123562037988,0.00017206910717547475,0.835784774704011,0.4848092844503231
9,run_1746380714,2025-05-04 13:45:14,med-trust-high-accuracy-s2,"100","3","5","1","small_world","75","med-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.012927372772227,5.861626242007494,4.1495132958208405,0.4509967641921016,0.00017206910717547475,0.835784774704011,0.48158712611912813
