step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
11,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.975222013114273,4.1413649503725045,0.4792534152042887,0.45106928829238585,1.8478624628179117,0.4358511250543367
12,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47875273384655115,0.45106928829238585,1.8573412974350527,0.4358511250543367
13,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47883395473445545,0.45106928829238585,1.8573412974350527,0.4358511250543367
14,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4789044547193562,0.45106928829238585,1.8573412974350527,0.4358511250543367
15,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4789659850576961,0.45106928829238585,1.8573412974350527,0.4358511250543367
16,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47902000275426715,0.45106928829238585,1.8573412974350527,0.4358511250543367
17,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4790677210684062,0.45106928829238585,1.8573412974350527,0.4358511250543367
18,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4791101510689483,0.45106928829238585,1.8573412974350527,0.4358511250543367
19,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4791481358862681,0.45106928829238585,1.8573412974350527,0.4358511250543367
20,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4791823789944015,0.45106928829238585,1.8573412974350527,0.4358511250543367
21,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47921346760326017,0.45106928829238585,1.8573412974350527,0.4358511250543367
22,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4792418920376765,0.45106928829238585,1.8573412974350527,0.4358511250543367
23,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47926806181640985,0.45106928829238585,1.8573412974350527,0.4358511250543367
24,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.4792923190123288,0.45106928829238585,1.8573412974350527,0.4358511250543367
25,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.660056786627274,6.950626596378812,4.1413649503725045,0.47931494936844027,0.45106928829238585,1.8573412974350527,0.4358511250543367
26,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.674770004886756,6.950626596378812,4.1413649503725045,0.47957926400596207,0.4530775695253525,1.8573412974350527,0.4358511250543367
27,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.950626596378812,4.1413649503725045,0.4798470260121559,0.45253994900033556,1.8573412974350527,0.4358511250543367
28,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.950626596378812,4.1413649503725045,0.4798612143477691,0.45253994900033556,1.8573412974350527,0.4358511250543367
29,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.950626596378812,4.1413649503725045,0.47987374491859086,0.45253994900033556,1.8573412974350527,0.4358511250543367
30,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.950626596378812,4.1413649503725045,0.47988497188077184,0.45253994900033556,1.8573412974350527,0.4358511250543367
31,run_1746380823,2025-05-04 13:47:03,high-trust-low-accuracy-s2,"100","3","5","1","small_world","75","high-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.687990972309624,6.950626596378812,4.1413649503725045,0.4798951781427597,0.45253994900033556,1.8573412974350527,0.4358511250543367
