step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-med-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.403108203797087,1.0822570840703483,4.481790040062195,0.4963642277615618,0.2862422630038593,0.018800138962690612,0.43260920487356835
1,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.441661628486196,1.0822570840703483,4.440153096975634,0.49577823784250197,0.2911104755549329,0.018800138962690612,0.4467986038798326
2,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.450729157512232,1.0873891271414353,4.345303498220629,0.49346655315691623,0.2912407044641256,0.01925046992795475,0.4626708136169
3,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.469795651585522,1.0873891271414353,4.283734962040934,0.4920154089143798,0.29222461015263457,0.01925046992795475,0.4553211362786709
4,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.469795651585522,1.0873891271414353,4.268060108648242,0.49205414936566333,0.29222461015263457,0.01925046992795475,0.45719083921739
5,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.469795651585522,1.0938771316289975,4.268060108648242,0.4923816136630696,0.29222461015263457,0.020213541085941592,0.45719083921739
6,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.4816446785534945,1.0938771316289975,4.268060108648242,0.4925784746610684,0.2949909120311742,0.020213541085941592,0.45719083921739
7,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.4816446785534945,1.0938771316289975,4.268060108648242,0.4931252036535892,0.2949909120311742,0.020213541085941592,0.45719083921739
8,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.4816446785534945,1.0971104570979573,4.268060108648242,0.49395999202463686,0.2949909120311742,0.020641455409877895,0.45719083921739
9,run_1746380245,2025-05-04 13:37:25,low-trust-med-accuracy-s3,"100","3","5","1","small_world","75","low-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.4816446785534945,1.0971104570979573,4.268060108648242,0.4944567280855172,0.2949909120311742,0.020641455409877895,0.45719083921739
