step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-low-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.535461500635316,0.72,4.90792542017825,0.4796904353533495,0.36075517460999273,0.20159999999999992,0.025668522654043163
1,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.69,4.90792542017825,0.47689042671370074,0.36185426446086816,0.21389999999999992,0.025668522654043163
2,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.67,4.899950140678133,0.4757179191969943,0.36185426446086816,0.22109999999999994,0.02733107388922462
3,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.64,4.8959292543905,0.47472345665540994,0.36185426446086816,0.2304,0.028127080801639476
4,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.64,4.8959292543905,0.47509165183428254,0.36185426446086816,0.2304,0.028127080801639476
5,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.63,4.892516452129273,0.4748837124959895,0.36185426446086816,0.23310000000000003,0.02856980975790186
6,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.62,4.892516452129273,0.4747524046686768,0.36185426446086816,0.23560000000000006,0.02856980975790186
7,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.61,4.892516452129273,0.4750000679568435,0.36185426446086816,0.23790000000000003,0.02856980975790186
8,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.61,4.881191153220163,0.47475646915853,0.36185426446086816,0.23790000000000003,0.030282902006238618
9,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.61,4.878404588737331,0.4747939838297793,0.36185426446086816,0.23790000000000003,0.030389494200954235
10,run_1746380182,2025-05-04 13:36:22,low-trust-low-accuracy-s1,"100","3","5","1","small_world","75","low-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.5917058432671745,0.61,4.878404588737331,0.4752887504047045,0.36185426446086816,0.23790000000000003,0.030389494200954235
