step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-low-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.019995594278476,4.090716894622194,4.492689436193442,0.4811856800965368,0.0006144333347179148,2.174548525975125,0.4915987888479513
1,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.021750039101167,4.090716894622194,4.440823402448798,0.47709548377564437,0.0006187651124306554,2.174548525975125,0.5058231035974695
2,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.348713915127471,0.4719489518784674,0.0006170492269356825,2.174548525975125,0.5169857890864982
3,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.334458357921017,0.4697638211004144,0.0006170492269356825,2.174548525975125,0.5185357672205447
4,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.289831756952047,0.4676538561969627,0.0006170492269356825,2.174548525975125,0.5248694604344365
5,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.272579063359555,0.4661487549362424,0.0006170492269356825,2.174548525975125,0.5298327184250327
6,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.224339071848318,0.46451356160982527,0.0006170492269356825,2.174548525975125,0.5352662504988805
7,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.224339071848318,0.46361122057483245,0.0006170492269356825,2.174548525975125,0.5352662504988805
8,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.090716894622194,4.224339071848318,0.46281917676027207,0.0006170492269356825,2.174548525975125,0.5352662504988805
9,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.020127233778676,4.197597408880042,0.4603697238917043,0.0006170492269356825,2.2904078828060963,0.5289808045734842
10,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.020127233778676,4.185092958275302,0.45954486144059004,0.0006170492269356825,2.2904078828060963,0.5243933646496466
11,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.020127233778676,4.185092958275302,0.45899213852130727,0.0006170492269356825,2.2904078828060963,0.5243933646496466
12,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,4.020127233778676,4.097778432322671,0.4567490001323236,0.0006170492269356825,2.2904078828060963,0.5034861285018428
13,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.9603888086422554,4.097778432322671,0.4546746404303683,0.0006170492269356825,2.349085725999257,0.5034861285018428
14,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.9603888086422554,4.065020802598928,0.4536090557886826,0.0006170492269356825,2.349085725999257,0.496960655572812
15,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.9603888086422554,4.050840009952941,0.4528108421757793,0.0006170492269356825,2.349085725999257,0.49035155644628015
16,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.9603888086422554,4.03902201214407,0.4522541038749653,0.0006170492269356825,2.349085725999257,0.4817440572298295
17,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.932990861927528,4.03902201214407,0.45101160200046514,0.0006170492269356825,2.3664334028836724,0.4817440572298295
18,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.932990861927528,4.03902201214407,0.4506850564121782,0.0006170492269356825,2.3664334028836724,0.4817440572298295
19,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.898963154841699,4.03902201214407,0.44982005961859733,0.0006170492269356825,2.408448254169582,0.4817440572298295
20,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.898963154841699,4.03902201214407,0.44963807943422907,0.0006170492269356825,2.408448254169582,0.4817440572298295
21,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.898963154841699,4.0247321659919075,0.44937178815996803,0.0006170492269356825,2.408448254169582,0.47449537262787267
22,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.898963154841699,4.0247321659919075,0.44922081717419815,0.0006170492269356825,2.408448254169582,0.47449537262787267
23,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.898963154841699,4.0247321659919075,0.4490886395637571,0.0006170492269356825,2.408448254169582,0.47449537262787267
24,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.8692379762230233,4.009447332062757,0.44799261902374815,0.0006170492269356825,2.4304662585407413,0.4678107475452898
25,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.8692379762230233,4.009447332062757,0.4479228502579171,0.0006170492269356825,2.4304662585407413,0.4678107475452898
26,run_1746380530,2025-05-04 13:42:10,med-trust-low-accuracy-s1,"100","3","5","1","small_world","75","med-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022145619254411,3.8692379762230233,4.009447332062757,0.44786094107672547,0.0006170492269356825,2.4304662585407413,0.4678107475452898
