step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-high-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.114885246835165,8.914957922095399,4.98329555586715,0.5767956006488809,0.018778305885221315,0.8218079568650322,0.0003501215641146274
1,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.1204393009361775,8.972157960764086,4.982563966396487,0.5768455103300956,0.019074105902165413,0.8230658227975911,0.00035286063831442354
2,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.122990091640665,8.972157960764086,4.98109852538631,0.5752100557234017,0.01910382179219136,0.8230658227975911,0.0003551917287251151
3,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.122990091640665,8.972157960764086,4.9799037461317734,0.5747754713695759,0.01910382179219136,0.8230658227975911,0.00035744394362163313
4,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,8.972157960764086,4.978353450718423,0.5738227350831955,0.019077323974225756,0.8230658227975911,0.0003541699919436917
5,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,8.972157960764086,4.978353450718423,0.5736917383956728,0.019077323974225756,0.8230658227975911,0.0003541699919436917
6,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,8.987674361807754,4.978353450718423,0.5737259387961418,0.019077323974225756,0.8167321486370186,0.0003541699919436917
7,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,8.987674361807754,4.978353450718423,0.5736058634465256,0.019077323974225756,0.8167321486370186,0.0003541699919436917
8,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,9.005148775816176,4.978353450718423,0.5735230524875053,0.019077323974225756,0.8124442465783899,0.0003541699919436917
9,run_1746380974,2025-05-04 13:49:34,high-trust-high-accuracy-s3,"100","3","5","1","small_world","75","high-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.127882057855433,9.005148775816176,4.978353450718423,0.5734123116715519,0.019077323974225756,0.8124442465783899,0.0003541699919436917
