step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-med-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
11,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.818862144257276,4.232293939798792,0.4783935520753483,0.0024648608014583586,0.038502658157083265,0.6651591767967353
12,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.811104927213036,4.232293939798792,0.47777809672073035,0.0024648608014583586,0.038642794978882955,0.6651591767967353
13,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.807853418730568,4.232293939798792,0.4773898378575923,0.0024648608014583586,0.038461065549701176,0.6651591767967353
14,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.807853418730568,4.232293939798792,0.47721542071909134,0.0024648608014583586,0.038461065549701176,0.6651591767967353
15,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.232293939798792,0.4766726068699759,0.0024648608014583586,0.03847314789386088,0.6651591767967353
16,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.232293939798792,0.4765048039918733,0.0024648608014583586,0.03847314789386088,0.6651591767967353
17,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.2173981976756645,0.47591924616215486,0.0024648608014583586,0.03847314789386088,0.66425450400497
18,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.2173981976756645,0.47576477422256885,0.0024648608014583586,0.03847314789386088,0.66425450400497
19,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.205064162779581,0.47517153337584295,0.0024648608014583586,0.03847314789386088,0.6600099413907198
20,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.188229246311452,0.47467260278015044,0.0024648608014583586,0.03847314789386088,0.6613026113928641
21,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.188229246311452,0.47451675359652,0.0024648608014583586,0.03847314789386088,0.6613026113928641
22,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.188229246311452,0.4743587408390944,0.0024648608014583586,0.03847314789386088,0.6613026113928641
23,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.803940479789121,4.188229246311452,0.4741993413481806,0.0024648608014583586,0.03847314789386088,0.6613026113928641
24,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.473858552732503,0.0024648608014583586,0.0383304190862143,0.6613026113928641
25,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4737067455345466,0.0024648608014583586,0.0383304190862143,0.6613026113928641
26,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4735547253365971,0.0024648608014583586,0.0383304190862143,0.6613026113928641
27,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4734028944246257,0.0024648608014583586,0.0383304190862143,0.6613026113928641
28,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47325159360645236,0.0024648608014583586,0.0383304190862143,0.6613026113928641
29,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4731011124100025,0.0024648608014583586,0.0383304190862143,0.6613026113928641
30,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4729516973753619,0.0024648608014583586,0.0383304190862143,0.6613026113928641
31,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4728035588139271,0.0024648608014583586,0.0383304190862143,0.6613026113928641
32,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47265687633424136,0.0024648608014583586,0.0383304190862143,0.6613026113928641
33,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.472511803374907,0.0024648608014583586,0.0383304190862143,0.6613026113928641
34,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4723684709374264,0.0024648608014583586,0.0383304190862143,0.6613026113928641
35,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.472226990673674,0.0024648608014583586,0.0383304190862143,0.6613026113928641
36,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4720874574520783,0.0024648608014583586,0.0383304190862143,0.6613026113928641
37,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47194995150203534,0.0024648608014583586,0.0383304190862143,0.6613026113928641
38,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47181454021637603,0.0024648608014583586,0.0383304190862143,0.6613026113928641
39,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4716812796759184,0.0024648608014583586,0.0383304190862143,0.6613026113928641
40,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4715502159474849,0.0024648608014583586,0.0383304190862143,0.6613026113928641
41,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4714213861966274,0.0024648608014583586,0.0383304190862143,0.6613026113928641
42,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.471294819648184,0.0024648608014583586,0.0383304190862143,0.6613026113928641
43,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.47117053842129386,0.0024648608014583586,0.0383304190862143,0.6613026113928641
44,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4710485582602987,0.0024648608014583586,0.0383304190862143,0.6613026113928641
45,run_1746380925,2025-05-04 13:48:45,high-trust-med-accuracy-s3,"100","3","5","1","small_world","75","high-trust-med-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.051702128442826,7.800385191443402,4.188229246311452,0.4709288891787933,0.0024648608014583586,0.0383304190862143,0.6613026113928641
