step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-high-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.5486821631487,5.735875208682981,4.55267477079108,0.4531330467266031,0.4449573928700418,0.9120703954713412,0.36400561276182514
1,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.564117243704743,5.785493561461204,4.498689581769823,0.45261622381245203,0.45160541555969497,0.9187179340696039,0.3716306453797163
2,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.580212398190032,5.785493561461204,4.471850771547528,0.45130627778650634,0.45909265298183555,0.9187179340696039,0.3801626288250927
3,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.580212398190032,5.785493561461204,4.423117402146278,0.4501063676446131,0.45909265298183555,0.9187179340696039,0.3863669762563298
4,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.580212398190032,5.785493561461204,4.423117402146278,0.44981793393621905,0.45909265298183555,0.9187179340696039,0.3863669762563298
5,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.580212398190032,5.801594759817525,4.423117402146278,0.4500200604204537,0.45909265298183555,0.919088769050652,0.3863669762563298
6,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.595116531326329,5.801594759817525,4.3795156965919055,0.4501416455402584,0.4637887125918281,0.919088769050652,0.39755058392107206
7,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.595116531326329,5.801594759817525,4.364913543423093,0.44960555244178385,0.4637887125918281,0.919088769050652,0.4005388350860359
8,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.608553924941618,5.801594759817525,4.364913543423093,0.44964055549856774,0.4656708736050835,0.919088769050652,0.4005388350860359
9,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.6203101154666015,5.801594759817525,4.354388804772636,0.4494925889827025,0.46504491538271353,0.919088769050652,0.39813683937658384
10,run_1746380720,2025-05-04 13:45:20,med-trust-high-accuracy-s3,"100","3","5","1","small_world","75","med-trust-high-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.635428798977233,5.822021212800727,4.354388804772636,0.4500374650184568,0.46891725527271805,0.9276480518706856,0.39813683937658384
