step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
11,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.050102544795023,4.473541704364187,0.4697750825591379,0.5625971218834185,1.2887226098941484,0.3527808352987214
12,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.050102544795023,4.473541704364187,0.4687651985737864,0.5625971218834185,1.2887226098941484,0.3527808352987214
13,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.7082478386839695,6.050102544795023,4.473541704364187,0.46784329944318953,0.5625971218834185,1.2887226098941484,0.3527808352987214
14,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.050102544795023,4.473541704364187,0.4670186306347452,0.568031448455917,1.2887226098941484,0.3527808352987214
15,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.070466974137142,4.473541704364187,0.4667479652511577,0.568031448455917,1.287009420003821,0.3527808352987214
16,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.070466974137142,4.473541704364187,0.4660517222627897,0.568031448455917,1.287009420003821,0.3527808352987214
17,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.070466974137142,4.473541704364187,0.4654139911285686,0.568031448455917,1.287009420003821,0.3527808352987214
18,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.070466974137142,4.473541704364187,0.46482943903966023,0.568031448455917,1.287009420003821,0.3527808352987214
19,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.725700991654026,6.070466974137142,4.473541704364187,0.464293237390434,0.568031448455917,1.287009420003821,0.3527808352987214
20,run_1746380696,2025-05-04 13:44:56,med-trust-high-accuracy-s1,"100","3","5","1","small_world","75","med-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.738781915311323,6.070466974137142,4.473541704364187,0.4640607564867379,0.5659857157252886,1.287009420003821,0.3527808352987214
