step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-low-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.575702174693948,6.741328276425254,4.432032928608599,0.4692007957663192,0.475487195996933,2.4599120648908706,0.4408557012437462
1,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.589283024145101,6.688527381283833,4.3807109892500815,0.4669163821692192,0.478109654580167,2.4642133541008295,0.44857340792338923
2,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.618962111778717,6.688527381283833,4.330457105320135,0.4672268056794892,0.487083831277619,2.4642133541008295,0.4488982303438157
3,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.618962111778717,6.653630192473788,4.244874352638347,0.46518528123304387,0.487083831277619,2.493243503809289,0.45010890498643574
4,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.653630192473788,4.231750570883976,0.4658029666948956,0.4863747139113919,2.493243503809289,0.4473398277063311
5,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.653630192473788,4.206338668151892,0.46620060682900155,0.4863747139113919,2.493243503809289,0.4408874645609168
6,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.653630192473788,4.176083759988139,0.4659520047602099,0.4863747139113919,2.493243503809289,0.43773708731480787
7,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.653630192473788,4.176083759988139,0.4662102792617056,0.4863747139113919,2.493243503809289,0.43773708731480787
8,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.653630192473788,4.176083759988139,0.4664404584380391,0.4863747139113919,2.493243503809289,0.43773708731480787
9,run_1746380815,2025-05-04 13:46:55,high-trust-low-accuracy-s1,"100","3","5","1","small_world","75","high-trust-low-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.630864606939399,6.5494097543764065,4.176083759988139,0.46467938264131986,0.4863747139113919,2.5653659224489416,0.43773708731480787
