step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-low-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
11,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.8586560649249995,0.4446763536125008,0.31020340871650737,2.601355939928248,0.01180083839084861
12,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.8586560649249995,0.44423094000996594,0.31020340871650737,2.601355939928248,0.01180083839084861
13,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.856050521451104,0.44354954523144463,0.31020340871650737,2.601355939928248,0.011736379678271257
14,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.596850406747799,4.856050521451104,0.44318235589041177,0.31020340871650737,2.601355939928248,0.011736379678271257
15,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.561344686439778,4.853934321302467,0.44192514042618036,0.31020340871650737,2.626521227196145,0.0115704798663085
16,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.561344686439778,4.8514464987930825,0.44121796918258477,0.31020340871650737,2.626521227196145,0.011456445722665904
17,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.516013859561049,3.561344686439778,4.8514464987930825,0.4409274823757921,0.31020340871650737,2.626521227196145,0.011456445722665904
18,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.44075941305779337,0.3089107974148124,2.626521227196145,0.011456445722665904
19,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.44050753245509,0.3089107974148124,2.626521227196145,0.011456445722665904
20,run_1746380548,2025-05-04 13:42:28,med-trust-low-accuracy-s3,"100","3","5","1","small_world","75","med-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.524982580149864,3.561344686439778,4.8514464987930825,0.4402733950159841,0.3089107974148124,2.626521227196145,0.011456445722665904
