step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-med-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.084094122790043,8.046941519945536,4.449590545195634,0.4621144828840158,0.010458684861072098,0.0030012515937626527,0.31219243664541346
1,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.089731377910648,8.047995998401873,4.428483212037451,0.46174857038247835,0.010548028044566416,0.0030123345074551267,0.3110779549336393
2,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.095817082319436,8.049169108087709,4.407523937969274,0.46354550344087564,0.010700988205373423,0.0030359678134070285,0.3088378450564146
3,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.050202310793143,4.407523937969274,0.4653453832515847,0.010731073719095176,0.0030400477776282033,0.3088378450564146
4,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.050202310793143,4.407523937969274,0.46682886955551944,0.010731073719095176,0.0030400477776282033,0.3088378450564146
5,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.05128102861591,4.407523937969274,0.4678646610051132,0.010731073719095176,0.003046939104809362,0.3088378450564146
6,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.05128102861591,4.407523937969274,0.46903055304772623,0.010731073719095176,0.003046939104809362,0.3088378450564146
7,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.053697851465149,4.371628473849782,0.4684491452984559,0.010731073719095176,0.003085456343556929,0.3084967324025599
8,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.054957262917101,4.359631825200026,0.46916267732229044,0.010731073719095176,0.003107226568721654,0.3076680658648334
9,run_1746380859,2025-05-04 13:47:39,high-trust-med-accuracy-s2,"100","3","5","1","small_world","75","high-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.097898765724504,8.057176372315336,4.336302001703242,0.4698833309231007,0.010731073719095176,0.003115485716051149,0.30498582548331526
