step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.976513481710671,4.885548475012162,0.5027105818951376,0.023777321943505306,0.0007226236808464283,0.025930741618784597
1,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.974487744949318,4.859548691609251,0.5006504184843458,0.023777321943505306,0.0007270498520153203,0.02784980274312587
2,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.973298108929068,4.850509778672541,0.49944232611285744,0.023777321943505306,0.0007357182970163472,0.027996399274822194
3,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.972882871370772,4.8436985356057045,0.49882749832049783,0.023777321943505306,0.0007306128416681257,0.028329149088154728
4,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.972882871370772,4.839776553777634,0.49889496948465006,0.023777321943505306,0.0007306128416681257,0.028625938286555984
5,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.134108017883437,7.972360584876216,4.839776553777634,0.4991455945376318,0.023777321943505306,0.0007292925566169975,0.028625938286555984
6,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.972360584876216,4.839776553777634,0.4995494798941296,0.02407573415138266,0.0007292925566169975,0.028625938286555984
7,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.972360584876216,4.835732066419893,0.4994448328919266,0.02407573415138266,0.0007292925566169975,0.0289493248019419
8,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.971906360978611,4.835732066419893,0.4994594832261626,0.02407573415138266,0.0007246092064532444,0.0289493248019419
9,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.971906360978611,4.835732066419893,0.4997566319497755,0.02407573415138266,0.0007246092064532444,0.0289493248019419
10,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.971906360978611,4.835732066419893,0.5000301304128845,0.02407573415138266,0.0007246092064532444,0.0289493248019419
11,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.137664751846067,7.971906360978611,4.835732066419893,0.5002816181867137,0.02407573415138266,0.0007246092064532444,0.0289493248019419
12,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.143752414500086,7.971906360978611,4.835732066419893,0.5004555207327797,0.02423030641686508,0.0007246092064532444,0.0289493248019419
13,run_1746380853,2025-05-04 13:47:33,high-trust-med-accuracy-s1,"100","3","5","1","small_world","75","high-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.143752414500086,7.971906360978611,4.835732066419893,0.500652517562928,0.02423030641686508,0.0007246092064532444,0.0289493248019419
