step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
31,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.69,4.338244901116455,0.48964414730805045,0.642117833253221,0.21389999999999992,0.31674378478283666
32,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.69,4.338244901116455,0.4896134757300791,0.642117833253221,0.21389999999999992,0.31674378478283666
33,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.69,4.338244901116455,0.48959045389111244,0.642117833253221,0.21389999999999992,0.31674378478283666
34,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4888868327516618,0.642117833253221,0.21759999999999993,0.31674378478283666
35,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4888439262720624,0.642117833253221,0.21759999999999993,0.31674378478283666
36,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4888135868293104,0.642117833253221,0.21759999999999993,0.31674378478283666
37,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.488793937327833,0.642117833253221,0.21759999999999993,0.31674378478283666
38,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48878340111805607,0.642117833253221,0.21759999999999993,0.31674378478283666
39,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48878065210912053,0.642117833253221,0.21759999999999993,0.31674378478283666
40,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4887845732187649,0.642117833253221,0.21759999999999993,0.31674378478283666
41,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4887942217691038,0.642117833253221,0.21759999999999993,0.31674378478283666
42,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48880880066875787,0.642117833253221,0.21759999999999993,0.31674378478283666
43,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48882763441493293,0.642117833253221,0.21759999999999993,0.31674378478283666
44,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48885014911008,0.642117833253221,0.21759999999999993,0.31674378478283666
45,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.488875855821992,0.642117833253221,0.21759999999999993,0.31674378478283666
46,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4889043367280882,0.642117833253221,0.21759999999999993,0.31674378478283666
47,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4889352335779029,0.642117833253221,0.21759999999999993,0.31674378478283666
48,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48896823808554574,0.642117833253221,0.21759999999999993,0.31674378478283666
49,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48900308392869535,0.642117833253221,0.21759999999999993,0.31674378478283666
50,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48903954008470873,0.642117833253221,0.21759999999999993,0.31674378478283666
51,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48907740527944,0.642117833253221,0.21759999999999993,0.31674378478283666
52,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4891165033618819,0.642117833253221,0.21759999999999993,0.31674378478283666
53,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48915667944901436,0.642117833253221,0.21759999999999993,0.31674378478283666
54,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48919779671129343,0.642117833253221,0.21759999999999993,0.31674378478283666
55,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4892397336909309,0.642117833253221,0.21759999999999993,0.31674378478283666
56,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4892823820632018,0.642117833253221,0.21759999999999993,0.31674378478283666
57,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48932564476608725,0.642117833253221,0.21759999999999993,0.31674378478283666
58,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48936943443611247,0.642117833253221,0.21759999999999993,0.31674378478283666
59,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.48941367209870096,0.642117833253221,0.21759999999999993,0.31674378478283666
60,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4894582860700643,0.642117833253221,0.21759999999999993,0.31674378478283666
61,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.869165633554334,0.68,4.338244901116455,0.4895032110349065,0.642117833253221,0.21759999999999993,0.31674378478283666
