step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="this1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
15,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5091176371382461,0.35389712641436427,0.013137535365824776,0.3999776615812573
16,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5094371660711341,0.35389712641436427,0.013137535365824776,0.3999776615812573
17,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.086605206874081,4.341164486568878,0.5097439578548212,0.35389712641436427,0.013137535365824776,0.3999776615812573
18,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.341164486568878,0.5100601491744183,0.35389712641436427,0.013184472613174306,0.3999776615812573
19,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.329052932947573,0.5100701037388132,0.35389712641436427,0.013184472613174306,0.3985409016652281
20,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.31653419054726,0.5100779226022665,0.35389712641436427,0.013184472613174306,0.39725724688913217
21,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.088593285332364,4.306382829284689,0.509956329939172,0.35389712641436427,0.013184472613174306,0.3935829936172315
22,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5102606940104365,0.35389712641436427,0.013282488552243172,0.3935829936172315
23,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5104961777102227,0.35389712641436427,0.013282488552243172,0.3935829936172315
24,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5107225087008087,0.35389712641436427,0.013282488552243172,0.3935829936172315
25,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5109400425994888,0.35389712641436427,0.013282488552243172,0.3935829936172315
26,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5111491261359921,0.35389712641436427,0.013282488552243172,0.3935829936172315
27,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.090826402106523,4.306382829284689,0.5113500965534713,0.35389712641436427,0.013282488552243172,0.3935829936172315
28,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.306382829284689,0.5118252036275076,0.35389712641436427,0.013522850745223336,0.3935829936172315
29,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5116363015612669,0.35389712641436427,0.013522850745223336,0.39153075260577164
30,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5117720908368567,0.35389712641436427,0.013522850745223336,0.39153075260577164
31,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5119052288649131,0.35389712641436427,0.013522850745223336,0.39153075260577164
32,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5120356034571135,0.35389712641436427,0.013522850745223336,0.39153075260577164
33,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5121631251857196,0.35389712641436427,0.013522850745223336,0.39153075260577164
34,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.093552042426906,4.2940514090108595,0.5122877258262636,0.35389712641436427,0.013522850745223336,0.39153075260577164
35,run_1745401950,2025-04-23 05:52:30,this1,"100","3","5","1","small_world","75","this1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5119228388517097,0.35389712641436427,0.01363376126030381,0.3888813881491322
