step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="154",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
33,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8345129474911746,0.44584537447638917,0.0031790060908914093,0.008366578125462964,0.020631070495197232
34,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8345129474911746,0.44577007934006596,0.0031790060908914093,0.008366578125462964,0.020631070495197232
35,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.4450837495849352,0.0031790060908914093,0.008366578125462964,0.020192018172875442
36,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44497906347462846,0.0031790060908914093,0.008366578125462964,0.020192018172875442
37,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.4448816889019021,0.0031790060908914093,0.008366578125462964,0.020192018172875442
38,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44479132430860524,0.0031790060908914093,0.008366578125462964,0.020192018172875442
39,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44470765526038925,0.0031790060908914093,0.008366578125462964,0.020192018172875442
40,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44463036161564273,0.0031790060908914093,0.008366578125462964,0.020192018172875442
41,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.444559122964977,0.0031790060908914093,0.008366578125462964,0.020192018172875442
42,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44449362270685566,0.0031790060908914093,0.008366578125462964,0.020192018172875442
43,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.4444335510503503,0.0031790060908914093,0.008366578125462964,0.020192018172875442
44,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44437860717650696,0.0031790060908914093,0.008366578125462964,0.020192018172875442
45,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44432850074234304,0.0031790060908914093,0.008366578125462964,0.020192018172875442
46,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44428295287363745,0.0031790060908914093,0.008366578125462964,0.020192018172875442
47,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44424169676247355,0.0031790060908914093,0.008366578125462964,0.020192018172875442
48,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44420447796140544,0.0031790060908914093,0.008366578125462964,0.020192018172875442
49,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44417105444690974,0.0031790060908914093,0.008366578125462964,0.020192018172875442
50,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44414119650946854,0.0031790060908914093,0.008366578125462964,0.020192018172875442
51,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.4441146865154302,0.0031790060908914093,0.008366578125462964,0.020192018172875442
52,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.825912826623506,0.44409131857607703,0.0031790060908914093,0.008366578125462964,0.020192018172875442
