step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="154",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
23,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.44679525575907236,0.0031790060908914093,0.008366578125462964,0.02060076012020043
24,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.44672264326551586,0.0031790060908914093,0.008366578125462964,0.02060076012020043
25,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.4466470297668158,0.0031790060908914093,0.008366578125462964,0.02060076012020043
26,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.4465696959116718,0.0031790060908914093,0.008366578125462964,0.02060076012020043
27,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.44649171149931505,0.0031790060908914093,0.008366578125462964,0.02060076012020043
28,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.4464139642902871,0.0031790060908914093,0.008366578125462964,0.02060076012020043
29,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.44633718516518894,0.0031790060908914093,0.008366578125462964,0.02060076012020043
30,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.4462619700716829,0.0031790060908914093,0.008366578125462964,0.02060076012020043
31,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8378790725919565,0.4461887991501616,0.0031790060908914093,0.008366578125462964,0.02060076012020043
32,run_1745402570,2025-04-23 06:02:50,154,"100","3","5","1","small_world","75","154","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.056408842012403,4.915070975902254,4.8345129474911746,0.4459240880708703,0.0031790060908914093,0.008366578125462964,0.020631070495197232
