step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-low-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="1",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.541021108183044,4.059771604693141,4.5357809925634065,0.4847961390866293,0.4323807244822649,1.8428838855146055,0.2718184001247208
13,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.541021108183044,4.059771604693141,4.5357809925634065,0.48418753779913304,0.4323807244822649,1.8428838855146055,0.2718184001247208
14,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.059771604693141,4.52398560702851,0.483237180248336,0.43864212597084884,1.8428838855146055,0.2746410966658059
15,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.059771604693141,4.52398560702851,0.4826773613726958,0.43864212597084884,1.8428838855146055,0.2746410966658059
16,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.025268265644106,4.52398560702851,0.48134402839685086,0.43864212597084884,1.895859407448732,0.2746410966658059
17,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.025268265644106,4.52398560702851,0.4807927498016374,0.43864212597084884,1.895859407448732,0.2746410966658059
18,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.025268265644106,4.52398560702851,0.48026691763909485,0.43864212597084884,1.895859407448732,0.2746410966658059
19,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.025268265644106,4.52398560702851,0.47976548116508483,0.43864212597084884,1.895859407448732,0.2746410966658059
20,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,4.025268265644106,4.52398560702851,0.4792873625494862,0.43864212597084884,1.895859407448732,0.2746410966658059
21,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.998208100940726,4.52398560702851,0.4783030471249621,0.43864212597084884,1.9155996037658025,0.2746410966658059
