step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.980911092762984,3.6839556732677408,4.922893692715199,0.43932384837195104,0.5180976939159013,2.3647166780896316,0.007798842468131787
1,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.980911092762984,3.522154905011977,4.916078926632241,0.433969967949637,0.5180976939159013,2.4399448966987,0.007904281651243558
2,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.980911092762984,3.522154905011977,4.9144217083531005,0.43397107309556726,0.5180976939159013,2.4399448966987,0.007898021447710199
3,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.996363183697754,3.522154905011977,4.912792787730869,0.4345596437896805,0.5114213834186887,2.4399448966987,0.007881905816511962
4,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.012799519203634,3.522154905011977,4.912792787730869,0.43518580688653713,0.505413423634085,2.4399448966987,0.007881905816511962
5,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.012799519203634,3.522154905011977,4.912792787730869,0.43544638909054834,0.505413423634085,2.4399448966987,0.007881905816511962
6,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.012799519203634,3.522154905011977,4.912792787730869,0.4357701392839371,0.505413423634085,2.4399448966987,0.007881905816511962
7,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.012799519203634,3.522154905011977,4.912792787730869,0.43613810919707247,0.505413423634085,2.4399448966987,0.007881905816511962
8,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.012799519203634,3.4840722191015505,4.912792787730869,0.435866558275581,0.505413423634085,2.47096308119438,0.007881905816511962
9,run_1746381834,2025-05-04 14:03:54,scale-free-high-s1,"100","3","5","1","scale_free","75","scale-free-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",6.029980895085677,3.4840722191015505,4.912792787730869,0.4366692164936753,0.49983561321171005,2.47096308119438,0.007881905816511962
