step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.052286251230952,4.143736106411764,4.557945892871204,0.49179398775345734,0.003341425182708413,1.7546076807189892,0.4097909061955065
1,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,4.089010275449228,4.491410705910363,0.481486122216467,0.003364719163274933,1.8098477150252958,0.43600466642601204
2,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,4.061221012446623,4.468519058594599,0.47593313125209674,0.003364719163274933,1.8356683196134378,0.4385069599003384
3,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,4.0288111287124835,4.427933404148528,0.4702068729120119,0.003364719163274933,1.8788065397385094,0.4506110263893977
4,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.362036177680761,0.46416524764056244,0.003364719163274933,1.9079013103424947,0.45927227629822714
5,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.294884989244,0.46019132292681697,0.003364719163274933,1.9079013103424947,0.44497881655858007
6,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.294884989244,0.45780372494246246,0.003364719163274933,1.9079013103424947,0.44497881655858007
7,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.294884989244,0.45571166721465095,0.003364719163274933,1.9079013103424947,0.44497881655858007
8,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.294884989244,0.4538727008847887,0.003364719163274933,1.9079013103424947,0.44497881655858007
9,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.294884989244,0.452250870367105,0.003364719163274933,1.9079013103424947,0.44497881655858007
10,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.2832787519288935,0.4505786728163815,0.003364719163274933,1.9079013103424947,0.44194712197686675
11,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9992496224993372,4.2832787519288935,0.4493212770190217,0.003364719163274933,1.9079013103424947,0.44194712197686675
12,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.974520025222258,4.2832787519288935,0.44760402373486213,0.003364719163274933,1.9189487478887088,0.44194712197686675
13,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.974520025222258,4.2832787519288935,0.4466450215790425,0.003364719163274933,1.9189487478887088,0.44194712197686675
14,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.974520025222258,4.2832787519288935,0.445783791321112,0.003364719163274933,1.9189487478887088,0.44194712197686675
15,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.974520025222258,4.2832787519288935,0.4450076248684243,0.003364719163274933,1.9189487478887088,0.44194712197686675
16,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.974520025222258,4.2832787519288935,0.444305672566325,0.003364719163274933,1.9189487478887088,0.44194712197686675
17,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.2832787519288935,0.4428050140569761,0.003364719163274933,1.9384446397187078,0.44194712197686675
18,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.2832787519288935,0.44226200187939296,0.003364719163274933,1.9384446397187078,0.44194712197686675
19,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4413551970430261,0.003364719163274933,1.9384446397187078,0.44008328771046945
20,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4409305170146584,0.003364719163274933,1.9384446397187078,0.44008328771046945
21,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.44053771940273295,0.003364719163274933,1.9384446397187078,0.44008328771046945
22,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4401735337065037,0.003364719163274933,1.9384446397187078,0.44008328771046945
23,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4398351027501141,0.003364719163274933,1.9384446397187078,0.44008328771046945
24,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43951992492195496,0.003364719163274933,1.9384446397187078,0.44008328771046945
25,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43922580482093726,0.003364719163274933,1.9384446397187078,0.44008328771046945
26,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4389508110691594,0.003364719163274933,1.9384446397187078,0.44008328771046945
27,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43869324023359413,0.003364719163274933,1.9384446397187078,0.44008328771046945
28,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43845158595576705,0.003364719163274933,1.9384446397187078,0.44008328771046945
29,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43822451252177397,0.003364719163274933,1.9384446397187078,0.44008328771046945
30,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43801083221873655,0.003364719163274933,1.9384446397187078,0.44008328771046945
31,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.4378094859207494,0.003364719163274933,1.9384446397187078,0.44008328771046945
32,run_1746381805,2025-05-04 14:03:25,scale-free-med-s1,"100","3","5","1","scale_free","75","scale-free-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055640563854528,3.9247432553455326,4.270243858775647,0.43761952642998714,0.003364719163274933,1.9384446397187078,0.44008328771046945
