step,run_id,timestamp,name,num_citizens="200",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="large-network-3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.147196059073829,4.889802377822174,0.5213985607595221,0.0001729627419031362,0.020827612745259735,0.011880682707827711
13,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.147196059073829,4.888496150518645,0.5211284266997023,0.0001729627419031362,0.020827612745259735,0.01193233614601096
14,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.147196059073829,4.887249049429898,0.52086695342223,0.0001729627419031362,0.020827612745259735,0.011963719965820558
15,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.151478823065081,4.887249049429898,0.5209671440992669,0.0001729627419031362,0.020784051674812357,0.011963719965820558
16,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.151478823065081,4.887249049429898,0.520867824615686,0.0001729627419031362,0.020784051674812357,0.011963719965820558
17,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.151478823065081,4.887249049429898,0.5207661412662634,0.0001729627419031362,0.020784051674812357,0.011963719965820558
18,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.151478823065081,4.887249049429898,0.5206629911645292,0.0001729627419031362,0.020784051674812357,0.011963719965820558
19,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.151478823065081,4.887249049429898,0.5205591036033135,0.0001729627419031362,0.020784051674812357,0.011963719965820558
20,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.153183233513895,4.887249049429898,0.5203588882101079,0.0001729627419031362,0.02084578547782716,0.011963719965820558
21,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.153183233513895,4.887249049429898,0.5202535162010697,0.0001729627419031362,0.02084578547782716,0.011963719965820558
22,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.153183233513895,4.887249049429898,0.5201493978938925,0.0001729627419031362,0.02084578547782716,0.011963719965820558
23,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013283367926563,5.153183233513895,4.887249049429898,0.5200467452326701,0.0001729627419031362,0.02084578547782716,0.011963719965820558
