step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-high-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.2",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.1720948208031485,4.027143127233483,4.151789179706283,0.46145156019431327,0.042474941228979046,1.8869324428559313,0.35922683840234443
1,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.181399786985087,4.027143127233483,4.119949182685507,0.45992727095615765,0.04351548398976637,1.8869324428559313,0.3380243984440099
2,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,4.027143127233483,4.105078933124399,0.4602700942801367,0.0435670439159461,1.8869324428559313,0.33374255576311657
3,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,4.002579781935463,4.105078933124399,0.45865561801318194,0.0435670439159461,1.8988716395640441,0.33374255576311657
4,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.9715136880150355,4.105078933124399,0.45724812565410056,0.0435670439159461,1.9324448561747993,0.33374255576311657
5,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.9477104044586917,4.105078933124399,0.45618128791657186,0.0435670439159461,1.9395751880371137,0.33374255576311657
6,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.9151438486652377,4.105078933124399,0.4550964626714004,0.0435670439159461,1.9760337674575499,0.33374255576311657
7,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.8876071806839114,4.105078933124399,0.4536534047019074,0.0435670439159461,1.9913556604318061,0.33374255576311657
8,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.8876071806839114,4.105078933124399,0.4530871682207607,0.0435670439159461,1.9913556604318061,0.33374255576311657
9,run_1746382117,2025-05-04 14:08:37,random-high-s2,"100","3","5","1","random","75","random-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.188912331988312,3.8569335117223726,4.105078933124399,0.45172347156414183,0.0435670439159461,2.0162598450306595,0.33374255576311657
