step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.047768615725184,3.9595727279976978,4.297299108396245,0.47483041893902844,0.003649682095719895,2.3623390039404857,0.5105441682754444
1,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.7759273122601593,4.212307524471199,0.4660695172989798,0.0039019397289538384,2.5220246299056783,0.5050641524132071
2,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.7507862921374184,4.212307524471199,0.4654506713620616,0.0039019397289538384,2.5230507761457432,0.5050641524132071
3,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.723911194606748,4.199210459130829,0.4635674063898868,0.0039019397289538384,2.5274101115358514,0.5014130117054317
4,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.723911194606748,4.188177568715844,0.46324502436737314,0.0039019397289538384,2.5274101115358514,0.49579370762567826
5,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.188177568715844,0.46178016641887054,0.0039019397289538384,2.5638113167567695,0.49579370762567826
6,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.159995368112616,0.46130203743968323,0.0039019397289538384,2.5638113167567695,0.4890091422424956
7,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.159995368112616,0.4609949141501481,0.0039019397289538384,2.5638113167567695,0.4890091422424956
8,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.135830875957011,0.4603067615677117,0.0039019397289538384,2.5638113167567695,0.4770453934141942
9,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.121535270800786,0.4595974892363365,0.0039019397289538384,2.5638113167567695,0.4725698205946429
10,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.121535270800786,0.4592853154556395,0.0039019397289538384,2.5638113167567695,0.4725698205946429
11,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6601783436391666,4.121535270800786,0.45899443538280793,0.0039019397289538384,2.5638113167567695,0.4725698205946429
12,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6309983453094237,4.121535270800786,0.4579718910633461,0.0039019397289538384,2.5699150873171006,0.4725698205946429
13,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6309983453094237,4.121535270800786,0.45770145140076673,0.0039019397289538384,2.5699150873171006,0.4725698205946429
14,run_1746382094,2025-05-04 14:08:14,random-med-s2,"100","3","5","1","random","75","random-med-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.055781120136191,3.6309983453094237,4.121535270800786,0.45745381073445357,0.0039019397289538384,2.5699150873171006,0.4725698205946429
