step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-med-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.018854131747809,4.057919702060655,4.643921878604372,0.4690684062385861,0.0006229088478789415,2.1289048653697518,0.30244379745717365
1,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.020838658343271,4.057919702060655,4.475949155421001,0.46293693260326946,0.0006437150660758221,2.1289048653697518,0.35936313803621445
2,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.021352129167301,4.057919702060655,4.463450702425816,0.4614095454375163,0.0006484165563593189,2.1289048653697518,0.36172840974011045
3,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.021352129167301,4.020488928178286,4.454289185607746,0.4594095946399131,0.0006484165563593189,2.1970844966572156,0.36020660456358156
4,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.021352129167301,3.9823996592483626,4.395407696969233,0.4558136380624084,0.0006484165563593189,2.2660952237422936,0.36335390080157226
5,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.021352129167301,3.9823996592483626,4.381444899026505,0.4544000961261704,0.0006484165563593189,2.2660952237422936,0.3657713133842343
6,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022313970671985,3.9823996592483626,4.33081832668783,0.45132764111090196,0.0006542451715378253,2.2660952237422936,0.3649983965201093
7,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.022914906183239,3.9823996592483626,4.33081832668783,0.4504598747594122,0.0006631778821699847,2.2660952237422936,0.3649983965201093
8,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9823996592483626,4.33081832668783,0.44937771605013815,0.0006725017455083389,2.2660952237422936,0.3649983965201093
9,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9823996592483626,4.33081832668783,0.4483646916955285,0.0006725017455083389,2.2660952237422936,0.3649983965201093
10,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9823996592483626,4.33081832668783,0.44736822273969457,0.0006725017455083389,2.2660952237422936,0.3649983965201093
11,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9823996592483626,4.33081832668783,0.44639659731354575,0.0006725017455083389,2.2660952237422936,0.3649983965201093
12,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9823996592483626,4.319867951061911,0.44531393417498344,0.0006725017455083389,2.2660952237422936,0.36221397705913405
13,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9194630916572613,4.319867951061911,0.44324029915547514,0.0006725017455083389,2.3399473132396946,0.36221397705913405
14,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9194630916572613,4.319867951061911,0.44249306624567736,0.0006725017455083389,2.3399473132396946,0.36221397705913405
15,run_1746381817,2025-05-04 14:03:37,scale-free-med-s3,"100","3","5","1","scale_free","75","scale-free-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.023530760154611,3.9194630916572613,4.319867951061911,0.44176537975662356,0.0006725017455083389,2.3399473132396946,0.36221397705913405
