step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.6325163621376735,4.215028478660807,4.849562535439003,0.47643968708787926,0.5481705629133767,1.9964904189153108,0.029556004538140276
1,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.67922022349668,4.1166273040001595,4.8259992473046545,0.4730865445322756,0.5621447158782137,2.159025901292416,0.030012065242025168
2,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.706744909814099,4.058701934475438,4.82262989429761,0.4710589439276035,0.5619437318751119,2.221348325336895,0.029963426752302905
3,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.706744909814099,4.058701934475438,4.813748981510295,0.46992274906649956,0.5619437318751119,2.221348325336895,0.02938404732418872
4,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.058701934475438,4.809691435775099,0.46892930201325794,0.5612420370114881,2.221348325336895,0.02950250733461869
5,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.027931684364162,4.809691435775099,0.46802221010674055,0.5612420370114881,2.2571543924251305,0.02950250733461869
6,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.027931684364162,4.802420696363075,0.4675146378881211,0.5612420370114881,2.2571543924251305,0.029335054263813207
7,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.027931684364162,4.798786069522155,0.46714187877692304,0.5612420370114881,2.2571543924251305,0.029206640898396072
8,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.027931684364162,4.798786069522155,0.4669651462109726,0.5612420370114881,2.2571543924251305,0.029206640898396072
9,run_1746381415,2025-05-04 13:56:55,small-world-med-s1,"100","3","5","1","small_world","75","small-world-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.7205075810378085,4.027931684364162,4.798786069522155,0.4668162480669919,0.5612420370114881,2.2571543924251305,0.029206640898396072
