step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.44723449018876715,0.018778401844352956,2.338806649941528,0.6168413652881912
13,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.44692613693048694,0.018778401844352956,2.338806649941528,0.6168413652881912
14,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.8152809578549527,3.9976997706671824,0.4466229080154025,0.018778401844352956,2.338806649941528,0.6168413652881912
15,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44573065359689923,0.018778401844352956,2.3424882172759083,0.6168413652881912
16,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44546896255394997,0.018778401844352956,2.3424882172759083,0.6168413652881912
17,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4452163093805007,0.018778401844352956,2.3424882172759083,0.6168413652881912
18,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4449736904974519,0.018778401844352956,2.3424882172759083,0.6168413652881912
19,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44474173156974817,0.018778401844352956,2.3424882172759083,0.6168413652881912
20,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4445207684048858,0.018778401844352956,2.3424882172759083,0.6168413652881912
21,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44431091233045855,0.018778401844352956,2.3424882172759083,0.6168413652881912
