step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.572564469078244,4.113418252706693,4.927667251053595,0.5082824086777373,0.5470805854190245,2.052341825824291,0.011888821284390222
1,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.590779911349724,4.038761747842533,4.917674269769311,0.5054082812111045,0.5590699867300511,2.1930994687318055,0.012886403492529041
2,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.620555376439111,4.038761747842533,4.907443735828407,0.5048239068156704,0.5674633359090318,2.1930994687318055,0.013725271272562909
3,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.620555376439111,4.038761747842533,4.905356227345033,0.5049320652453042,0.5674633359090318,2.1930994687318055,0.013770258774415298
4,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.63639162298881,4.038761747842533,4.898067906623199,0.5050898189457727,0.5726366838044679,2.1930994687318055,0.014149455233224289
5,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.63639162298881,4.006844506901352,4.886813198027906,0.5034667452304746,0.5726366838044679,2.23259163960027,0.014303726899277702
6,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.653974826179705,4.006844506901352,4.8801922771588115,0.502743299764201,0.5808648117832541,2.23259163960027,0.014237608882508704
7,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.653974826179705,4.006844506901352,4.873260293216288,0.5022410009814201,0.5808648117832541,2.23259163960027,0.014135714124282509
8,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.653974826179705,4.006844506901352,4.868214855756441,0.5023024034423945,0.5808648117832541,2.23259163960027,0.014116759144615743
9,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.672403161618023,4.006844506901352,4.868214855756441,0.5026773745820274,0.5903822280088354,2.23259163960027,0.014116759144615743
10,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.672403161618023,4.006844506901352,4.868214855756441,0.5028920713945979,0.5903822280088354,2.23259163960027,0.014116759144615743
11,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.672403161618023,4.006844506901352,4.865979416717738,0.5029173178672345,0.5903822280088354,2.23259163960027,0.014022285414169356
12,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.672403161618023,4.006844506901352,4.8639182494183935,0.5031241612709465,0.5903822280088354,2.23259163960027,0.01389040037972125
13,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.68813323240411,4.006844506901352,4.8639182494183935,0.5031468887076008,0.5937244069173494,2.23259163960027,0.01389040037972125
14,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.68813323240411,4.006844506901352,4.861728131960552,0.5030072059196568,0.5937244069173494,2.23259163960027,0.013769195177871563
15,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.68813323240411,4.006844506901352,4.861728131960552,0.5031697915108296,0.5937244069173494,2.23259163960027,0.013769195177871563
16,run_1746381383,2025-05-04 13:56:23,small-world-low-s1,"100","3","5","1","small_world","75","small-world-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.68813323240411,4.006844506901352,4.861728131960552,0.5033179466677771,0.5937244069173494,2.23259163960027,0.013769195177871563
