step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.2",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
45,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638715596348134,0.02355019386802297,2.761969410165777,0.012007211519252723
46,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46386196505757865,0.02355019386802297,2.761969410165777,0.012007211519252723
47,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46385364664748574,0.02355019386802297,2.761969410165777,0.012007211519252723
48,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46384646132992174,0.02355019386802297,2.761969410165777,0.012007211519252723
49,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46384028117063464,0.02355019386802297,2.761969410165777,0.012007211519252723
50,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46383499181222093,0.02355019386802297,2.761969410165777,0.012007211519252723
51,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46383049106959795,0.02355019386802297,2.761969410165777,0.012007211519252723
52,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46382668766858315,0.02355019386802297,2.761969410165777,0.012007211519252723
53,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638235001132305,0.02355019386802297,2.761969410165777,0.012007211519252723
54,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46382085566898806,0.02355019386802297,2.761969410165777,0.012007211519252723
55,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638186894500011,0.02355019386802297,2.761969410165777,0.012007211519252723
56,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638169436000423,0.02355019386802297,2.761969410165777,0.012007211519252723
57,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.463815566557589,0.02355019386802297,2.761969410165777,0.012007211519252723
58,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638145123965115,0.02355019386802297,2.761969410165777,0.012007211519252723
59,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638137402346829,0.02355019386802297,2.761969410165777,0.012007211519252723
60,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638132137035992,0.02355019386802297,2.761969410165777,0.012007211519252723
61,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638129004727803,0.02355019386802297,2.761969410165777,0.012007211519252723
62,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638127718233597,0.02355019386802297,2.761969410165777,0.012007211519252723
63,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46381280226582866,0.02355019386802297,2.761969410165777,0.012007211519252723
64,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46381296919741066,0.02355019386802297,2.761969410165777,0.012007211519252723
65,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638132525950011,0.02355019386802297,2.761969410165777,0.012007211519252723
66,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4638136347400213,0.02355019386802297,2.761969410165777,0.012007211519252723
