step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-low-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="1",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.560522575357007,4.173981833459288,4.93211717685674,0.45459255627348705,0.4661994229517568,1.889445841713857,0.007757948079146617
1,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.616866977585475,4.106310828942025,4.93211717685674,0.44638067314992924,0.4805197182235833,2.0022610806315244,0.007757948079146617
2,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,4.106310828942025,4.927373701631068,0.4412506111938632,0.49113261562126537,2.0022610806315244,0.007851214981328687
3,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,4.106310828942025,4.927373701631068,0.43651375998347264,0.49113261562126537,2.0022610806315244,0.007851214981328687
4,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,4.106310828942025,4.927373701631068,0.4323420280189282,0.49113261562126537,2.0022610806315244,0.007851214981328687
5,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,4.106310828942025,4.922267627814345,0.4287100694451143,0.49113261562126537,2.0022610806315244,0.007955736565280503
6,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,4.106310828942025,4.920906574664497,0.4256257700463603,0.49113261562126537,2.0022610806315244,0.0079275348872581
7,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,3.947665197862384,4.920906574664497,0.42005950863938213,0.49113261562126537,2.1973242142196203,0.0079275348872581
8,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,3.947665197862384,4.918942871289257,0.4178241090599873,0.49113261562126537,2.1973242142196203,0.007998659798323732
9,run_1746381772,2025-05-04 14:02:52,scale-free-low-s1,"100","3","5","1","scale_free","75","scale-free-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.648776352574033,3.947665197862384,4.917221300024568,0.4153372451802113,0.49113261562126537,2.1973242142196203,0.00801298550547134
