step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-low-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.05",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.662537613588488,3.9782815619957774,4.445263095329454,0.4518720580515467,0.5532258606481701,2.2732422041740485,0.5149176548619553
1,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.710722770240368,3.9401790261733236,4.416626241986604,0.45113810883021344,0.5646972288229107,2.3391105977790487,0.5236327544537233
2,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.710722770240368,3.9401790261733236,4.33903117682474,0.45020739726189984,0.5646972288229107,2.3391105977790487,0.5478604559393473
3,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.9401790261733236,4.277195102375881,0.449457586913856,0.5615823654201835,2.3391105977790487,0.5596900193943655
4,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.834175993610283,4.263814075811747,0.4467583311256813,0.5615823654201835,2.4788059191567213,0.5580724116418717
5,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.834175993610283,4.247630252206741,0.4464499118092291,0.5615823654201835,2.4788059191567213,0.5601735038680873
6,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.834175993610283,4.184942672986925,0.44566988060343454,0.5615823654201835,2.4788059191567213,0.5609300117854272
7,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.8019367792165664,4.17364856381896,0.44461787918578055,0.5615823654201835,2.5065327465097202,0.5551474522144496
8,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.775325935625732,4.127474681179877,0.44260945220224557,0.5615823654201835,2.512875363214292,0.549287955226131
9,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.775325935625732,4.127474681179877,0.44239996566498385,0.5615823654201835,2.512875363214292,0.549287955226131
10,run_1746382068,2025-05-04 14:07:48,random-low-s3,"100","3","5","1","random","75","random-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.722382304949429,3.775325935625732,4.114152507971501,0.4420169279737264,0.5615823654201835,2.512875363214292,0.5436106379745045
