step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.946765882247596,0.49162806532152487,0.012772467348891791,2.0680373673524692,0.00261290023447368
13,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0954207620125205,4.945602180482538,0.491972594650428,0.012772467348891791,2.0680373673524692,0.002623068938896005
14,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.0382566377704325,4.945602180482538,0.49098012343851394,0.012772467348891791,2.1284641951136063,0.002623068938896005
15,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.49048639814478645,0.012772467348891791,2.193109340881679,0.002623068938896005
16,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.49081874634826933,0.012772467348891791,2.193109340881679,0.002623068938896005
17,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.4911241357830001,0.012772467348891791,2.193109340881679,0.002623068938896005
18,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,4.00120427637329,4.945602180482538,0.4914043958454847,0.012772467348891791,2.193109340881679,0.002623068938896005
19,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.945602180482538,0.4909070313168503,0.012772467348891791,2.248548792336014,0.002623068938896005
20,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.945602180482538,0.491172253635193,0.012772467348891791,2.248548792336014,0.002623068938896005
21,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.945602180482538,0.4914113005220764,0.012772467348891791,2.248548792336014,0.002623068938896005
22,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.945602180482538,0.4916267138490115,0.012772467348891791,2.248548792336014,0.002623068938896005
23,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4916989396771634,0.012772467348891791,2.248548792336014,0.002628088898597181
24,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4918785426662922,0.012772467348891791,2.248548792336014,0.002628088898597181
25,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4920402586372355,0.012772467348891791,2.248548792336014,0.002628088898597181
26,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49218576769335565,0.012772467348891791,2.248548792336014,0.002628088898597181
27,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49231658345590856,0.012772467348891791,2.248548792336014,0.002628088898597181
28,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49243407130182243,0.012772467348891791,2.248548792336014,0.002628088898597181
29,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49253946438991136,0.012772467348891791,2.248548792336014,0.002628088898597181
30,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4926338777635748,0.012772467348891791,2.248548792336014,0.002628088898597181
31,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4927183207793246,0.012772467348891791,2.248548792336014,0.002628088898597181
32,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4927937080769372,0.012772467348891791,2.248548792336014,0.002628088898597181
33,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49286086927799266,0.012772467348891791,2.248548792336014,0.002628088898597181
34,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4929205575744456,0.012772467348891791,2.248548792336014,0.002628088898597181
35,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4929734573471694,0.012772467348891791,2.248548792336014,0.002628088898597181
