step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-high-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.2",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.701774863776924,4.355212868952785,0.46606444693063187,0.01350017144817172,2.5958262188366477,0.3008605475405316
1,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.636225870844484,4.264623602343863,0.4621928282607028,0.01350017144817172,2.636169283120252,0.26781517376849606
2,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.6063052286457453,4.252976527228713,0.46143329417630097,0.01350017144817172,2.643188525732445,0.2641149870007333
3,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.6063052286457453,4.252976527228713,0.4611536138887245,0.01350017144817172,2.643188525732445,0.2641149870007333
4,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.6063052286457453,4.252976527228713,0.4609084580000385,0.01350017144817172,2.643188525732445,0.2641149870007333
5,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.5778685264360086,4.252976527228713,0.46002273710873676,0.01350017144817172,2.6439803165878657,0.2641149870007333
6,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.5778685264360086,4.252976527228713,0.45985194561862597,0.01350017144817172,2.6439803165878657,0.2641149870007333
7,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.5778685264360086,4.252976527228713,0.4597057968667575,0.01350017144817172,2.6439803165878657,0.2641149870007333
8,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.5411163621673594,4.252976527228713,0.4588501496406282,0.01350017144817172,2.6731689337963354,0.2641149870007333
9,run_1746382112,2025-05-04 14:08:32,random-high-s1,"100","3","5","1","random","75","random-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.118746275763094,3.5411163621673594,4.252976527228713,0.4587155340668759,0.01350017144817172,2.6731689337963354,0.2641149870007333
