step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.5100204699530915,4.123250341240547,4.944356985418924,0.4538173693980934,0.38668739770677635,1.8346294759439,0.004241667041830791
1,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.524092742867626,4.094549632273538,4.932420854963556,0.454273004542923,0.3919379608495501,1.8658521411836222,0.00438419903088281
2,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.524092742867626,4.094549632273538,4.9288121274354255,0.45428722310526176,0.3919379608495501,1.8658521411836222,0.0043182257333368905
3,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.524092742867626,4.064343296584352,4.924700336658722,0.4535554871304867,0.3919379608495501,1.9014813145297516,0.00428895487785828
4,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.524092742867626,4.002520410053801,4.921299694255597,0.4525007492041114,0.3919379608495501,1.9741162779240358,0.004154280050231217
5,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.921299694255597,0.4530352541259367,0.3966663277786946,1.9741162779240358,0.004154280050231217
6,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.91835986607286,0.45356904827283856,0.3966663277786946,1.9741162779240358,0.004117836271342299
7,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.45357112131956545,0.3966663277786946,1.9741162779240358,0.0040713953808093365
8,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4536729695827462,0.3966663277786946,1.9741162779240358,0.0040713953808093365
9,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4537316748433568,0.3966663277786946,1.9741162779240358,0.0040713953808093365
10,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4537551674219141,0.3966663277786946,1.9741162779240358,0.0040713953808093365
11,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.45375013571688605,0.3966663277786946,1.9741162779240358,0.0040713953808093365
12,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4537222079924818,0.3966663277786946,1.9741162779240358,0.0040713953808093365
13,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4536761087456419,0.3966663277786946,1.9741162779240358,0.0040713953808093365
14,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.45361579304349237,0.3966663277786946,1.9741162779240358,0.0040713953808093365
15,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.45354456179920355,0.3966663277786946,1.9741162779240358,0.0040713953808093365
16,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.45346516057774033,0.3966663277786946,1.9741162779240358,0.0040713953808093365
17,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4533798641895788,0.3966663277786946,1.9741162779240358,0.0040713953808093365
18,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.917075931723449,0.4532905490362142,0.3966663277786946,1.9741162779240358,0.0040713953808093365
19,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.914388589551257,0.4531817267166762,0.3966663277786946,1.9741162779240358,0.00398154509550668
20,run_1746381840,2025-05-04 14:04:00,scale-free-high-s2,"100","3","5","1","scale_free","75","scale-free-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.538092141697178,4.002520410053801,4.914388589551257,0.4530939187837454,0.3966663277786946,1.9741162779240358,0.00398154509550668
