step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="1",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.522432925079614,4.201529222086716,4.993899451136627,0.5034191246927321,0.37381233220026017,1.3964825031313026,7.825057914710078e-05
1,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.533380420086453,4.201529222086716,4.993740402197035,0.5055808262519949,0.37423858556837675,1.3964825031313026,7.8814367445163e-05
2,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.555256020887759,4.170900452084109,4.993575680020636,0.5072181140298595,0.37446889438464,1.4404441811456723,7.943838444254939e-05
3,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.57541566057522,4.170900452084109,4.9926498863755855,0.5090436259471834,0.3719964098371111,1.4404441811456723,8.414248213453039e-05
4,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.57541566057522,4.170900452084109,4.992272203793365,0.5100567703938091,0.3719964098371111,1.4404441811456723,8.5709680971742e-05
5,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.590237342863024,4.170900452084109,4.992114274447159,0.511211337950776,0.3766876979463861,1.4404441811456723,8.573801552759844e-05
6,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.590237342863024,4.170900452084109,4.991951547253191,0.5124327936777395,0.3766876979463861,1.4404441811456723,8.579310537039903e-05
7,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.590237342863024,4.170900452084109,4.991951547253191,0.5132017504177513,0.3766876979463861,1.4404441811456723,8.579310537039903e-05
8,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.590237342863024,4.170900452084109,4.991951547253191,0.5138565731556133,0.3766876979463861,1.4404441811456723,8.579310537039903e-05
9,run_1746381779,2025-05-04 14:02:59,scale-free-low-s2,"100","3","5","1","scale_free","75","scale-free-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.590237342863024,4.170900452084109,4.99140158772689,0.51420165184181,0.3766876979463861,1.4404441811456723,8.683617907939033e-05
