step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-high-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="8",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.459432029899399,4.068488276897643,4.2926605235989275,0.4814188927463247,0.28867405745150626,2.082849363589756,0.44441764302503023
1,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.485236000603244,4.034261727579926,4.227141918548859,0.4773558679050598,0.2975902863536122,2.135058710869781,0.43387461111245246
2,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.485236000603244,4.034261727579926,4.227141918548859,0.47584568605618727,0.2975902863536122,2.135058710869781,0.43387461111245246
3,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.485236000603244,4.034261727579926,4.227141918548859,0.47452706767209313,0.2975902863536122,2.135058710869781,0.43387461111245246
4,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.494804648149697,3.919370648645633,4.227141918548859,0.4706099875589503,0.29736852439132055,2.2326840039088496,0.43387461111245246
5,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.494804648149697,3.919370648645633,4.227141918548859,0.46972293935446274,0.29736852439132055,2.2326840039088496,0.43387461111245246
6,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.518605919115734,3.884971365206403,4.227141918548859,0.468131952968517,0.3017904653246519,2.275486012620985,0.43387461111245246
7,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.518605919115734,3.884971365206403,4.227141918548859,0.4675100216707875,0.3017904653246519,2.275486012620985,0.43387461111245246
8,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.8527367095346925,4.227141918548859,0.46661016220753176,0.3002616113765626,2.306469114008749,0.43387461111245246
9,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.822199402480153,4.227141918548859,0.46555540850997995,0.3002616113765626,2.3287206363542476,0.43387461111245246
10,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.7979977326111203,4.227141918548859,0.4645649127992077,0.3002616113765626,2.329697515509312,0.43387461111245246
11,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.771046043489358,4.227141918548859,0.4634004606862665,0.3002616113765626,2.33681849374577,0.43387461111245246
12,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.771046043489358,4.227141918548859,0.4631398370734417,0.3002616113765626,2.33681849374577,0.43387461111245246
13,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.527308222218543,3.771046043489358,4.227141918548859,0.4629213698886606,0.3002616113765626,2.33681849374577,0.43387461111245246
14,run_1746381465,2025-05-04 13:57:45,small-world-high-s2,"100","3","5","1","small_world","75","small-world-high-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.540474140334219,3.771046043489358,4.227141918548859,0.46277478659745747,0.30353741620869906,2.33681849374577,0.43387461111245246
