step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8627754332706883,4.499218751118176,0.44758854998033326,0.038670267820161655,2.1820740049256186,0.35707158698783104
13,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8627754332706883,4.499218751118176,0.4478038925632336,0.038670267820161655,2.1820740049256186,0.35707158698783104
14,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8627754332706883,4.499218751118176,0.44801790795594726,0.038670267820161655,2.1820740049256186,0.35707158698783104
15,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.499218751118176,0.44766209288679265,0.038670267820161655,2.2148671384264462,0.35707158698783104
16,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.485698987202704,0.4472595178107106,0.038670267820161655,2.2148671384264462,0.36162631608815643
17,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.47123908850177,0.44728074186284617,0.038670267820161655,2.2148671384264462,0.3674526133681696
18,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.460292758308009,0.4474735677299696,0.038670267820161655,2.2148671384264462,0.36773902263291547
19,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.437041270364594,0.44720235216055826,0.038670267820161655,2.2148671384264462,0.369388220232833
20,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.437041270364594,0.4474102063783984,0.038670267820161655,2.2148671384264462,0.369388220232833
21,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.8297662899056553,4.437041270364594,0.4476153490285655,0.038670267820161655,2.2148671384264462,0.369388220232833
