step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="8",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
12,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.884628721597208,0.43288097970742656,5.758005625425174e-06,1.891288336465215,0.007942779711446375
13,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.884628721597208,0.4325163944167602,5.758005625425174e-06,1.891288336465215,0.007942779711446375
14,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.4321135209405755,5.758005625425174e-06,1.891288336465215,0.007913377880708295
15,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.4318005823487123,5.758005625425174e-06,1.891288336465215,0.007913377880708295
16,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.43151040371624333,5.758005625425174e-06,1.891288336465215,0.007913377880708295
17,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.43124147267542745,5.758005625425174e-06,1.891288336465215,0.007913377880708295
18,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.430992333695715,5.758005625425174e-06,1.891288336465215,0.007913377880708295
19,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.430761596923563,5.758005625425174e-06,1.891288336465215,0.007913377880708295
20,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.4305479437708378,5.758005625425174e-06,1.891288336465215,0.007913377880708295
21,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.4303501299635964,5.758005625425174e-06,1.891288336465215,0.007913377880708295
22,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.217982857077638,4.882433262546039,0.4301669866292607,5.758005625425174e-06,1.891288336465215,0.007913377880708295
23,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42925895327185803,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
24,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42909953855558053,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
25,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4289514717460753,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
26,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42881394504242343,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
27,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4286862033998514,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
28,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4285675427384462,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
29,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.428457307803976,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
30,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42835488979949465,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
31,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4282597238811431,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
